state,year,office,election_type,party,jurisdiction,url,feed_url,formats,total_votes,pct,precincts,pct_reporting,certified
OH,2012,President,Primary,REP,CD15,http://vote.sos.state.oh.us/pls/enrpublic/f?p=130:105:0::NO::P105_RACE_OR_ISSUE_ID:6A368D0C70DA455F9F6CF1D6F3BC757E,,html|csv,x,x,x,x,FALSE
OH,2012,President,Primary,REP,CD16,http://vote.sos.state.oh.us/pls/enrpublic/f?p=130:105:0::NO::P105_RACE_OR_ISSUE_ID:5B3ACA2ABCC94943971BD95CFDCDF1BE,,html|csv,x,x,x,x,FALSE
OH,2012,U.S. Senate,Primary,,Statewide,http://vote.sos.state.oh.us/pls/enrpublic/f?p=130:18:0:US:NO::P18_SELECTED:3,,html|csv,x,x,x,x,FALSE
OH,2012,U.S. Senate,Primary,DEM,County,http://vote.sos.state.oh.us/pls/enrpublic/f?p=130:105:0::NO::P105_RACE_OR_ISSUE_ID:2D00FE25A8984B8388A08B3B48D2BA5D,,html|csv,x,x,x,x,FALSE
OH,2012,U.S. Senate,Primary,REP,County,http://vote.sos.state.oh.us/pls/enrpublic/f?p=130:105:0::NO::P105_RACE_OR_ISSUE_ID:69D15F88E6AB4698B5E1FAB0E20B3D3E,,html|csv,x,x,x,x,FALSE
OH,2012,U.S. Senate,Primary,GRE,County,http://vote.sos.state.oh.us/pls/enrpublic/f?p=130:105:0::NO::P105_RACE_OR_ISSUE_ID:BFEC237DF16143F0863A995B1E76469A,,html|csv,x,x,x,x,FALSE
OH,2012,U.S. Senate,Primary,LIB,County,http://vote.sos.state.oh.us/pls/enrpublic/f?p=130:105:0::NO::P105_RACE_OR_ISSUE_ID:4475DE1F2C6042C2A4FD77C53DB73BCF,,html|csv,x,x,x,x,FALSE
OH,2012,U.S. House,Primary,,Statewide,http://vote.sos.state.oh.us/pls/enrpublic/f?p=130:18:0:UC:NO::P18_SELECTED:4,,html|csv,x,x,x,x,FALSE
OH,2012,U.S. House,Primary,DEM,CD1,http://vote.sos.state.oh.us/pls/enrpublic/f?p=130:105:0::NO::P105_RACE_OR_ISSUE_ID:AB64F0E5377F4CBF8E94730E24E3D1C7,,html|csv,x,x,x,x,FALSE
OH,2012,U.S. House,Primary,GRE,CD1,http://vote.sos.state.oh.us/pls/enrpublic/f?p=130:105:0::NO::P105_RACE_OR_ISSUE_ID:C08FCDA7F69242C684948AC400F6642B,,html|csv,x,x,x,x,FALSE
OH,2012,U.S. House,Primary,LIB,CD1,http://vote.sos.state.oh.us/pls/enrpublic/f?p=130:105:0::NO::P105_RACE_OR_ISSUE_ID:2F5DE876D6EE41AF88BF2E1A93A2DEA1,,html|csv,x,x,x,x,FALSE
OH,2012,U.S. House,Primary,REP,CD1,http://vote.sos.state.oh.us/pls/enrpublic/f?p=130:105:0::NO::P105_RACE_OR_ISSUE_ID:F918FEF1C1D643A2A64E02546E08E5F0,,html|csv,x,x,x,x,FALSE
OH,2012,U.S. House,Primary,DEM,CD2,http://vote.sos.state.oh.us/pls/enrpublic/f?p=130:105:0::NO::P105_RACE_OR_ISSUE_ID:A6F3C2F36DC74115AC5C2A5B86FF2B19,,html|csv,x,x,x,x,FALSE
OH,2012,U.S. House,Primary,REP,CD2,http://vote.sos.state.oh.us/pls/enrpublic/f?p=130:105:0::NO::P105_RACE_OR_ISSUE_ID:2E9CB4FF77C548D6964FBB34E80A6C96,,html|csv,x,x,x,x,FALSE
OH,2012,U.S. House,Primary,,,,,,,,,,
OH,2012,U.S. House,Primary,,,,,,,,,,
OH,2012,U.S. House,Primary,,,,,,,,,,
OH,2012,U.S. House,Primary,,,,,,,,,,
OH,2012,U.S. House,Primary,,,,,,,,,,
OH,2012,U.S. House,Primary,,,,,,,,,,
OH,2012,U.S. House,Primary,,,,,,,,,,
OH,2012,U.S. House,Primary,,,,,,,,,,
OH,2012,U.S. House,Primary,,,,,,,,,,
