state,year,office,election_type,date,seat,party,jurisdiction,url,download_url,formats,total_votes,pct,precincts,pct_reporting,certified
OH,2011,State Issue 1,Ballot Issue,11/8/2011,,,Statewide,http://www.sos.state.oh.us/SOS/elections/Research/electResultsMain/2011results/20111108Issue1.aspx,http://www.sos.state.oh.us/sos/upload/elections/2011/gen/2011results.xls,"html,xls",x,x,,,x
OH,2011,State Issue 1,Ballot Issue,11/8/2011,,,County,http://www.sos.state.oh.us/SOS/elections/Research/electResultsMain/2011results/20111108Issue1.aspx,http://www.sos.state.oh.us/sos/upload/elections/2011/gen/2011results.xls,"html,xls",x,x,,,x
OH,2011,State Issue 2,Ballot Issue,11/8/2011,,,Statewide,http://www.sos.state.oh.us/SOS/elections/Research/electResultsMain/2011results/20111108Issue2.aspx,http://www.sos.state.oh.us/sos/upload/elections/2011/gen/2011results.xls,"html,xls",x,x,,,x
OH,2011,State Issue 2,Ballot Issue,11/8/2011,,,County,http://www.sos.state.oh.us/SOS/elections/Research/electResultsMain/2011results/20111108Issue2.aspx,http://www.sos.state.oh.us/sos/upload/elections/2011/gen/2011results.xls,"html,xls",x,x,,,x
OH,2011,State Issue 3,Ballot Issue,11/8/2011,,,Statewide,http://www.sos.state.oh.us/SOS/elections/Research/electResultsMain/2011results/20111108Issue3.aspx,http://www.sos.state.oh.us/sos/upload/elections/2011/gen/2011results.xls,"html,xls",x,x,,,x
OH,2011,State Issue 3,Ballot Issue,11/8/2011,,,County,http://www.sos.state.oh.us/SOS/elections/Research/electResultsMain/2011results/20111108Issue3.aspx,http://www.sos.state.oh.us/sos/upload/elections/2011/gen/2011results.xls,"html,xls",x,x,,,x
OH,2011,all,Ballot Issue,11/8/2011,,,Precinct,http://www.sos.state.oh.us/sos/elections/Research/electResultsMain/2011results/2011precincts.aspx,http://www.sos.state.oh.us/sos/upload/elections/2011/gen/2011precinct.xlsx,xls,x,x,x,x,x
