state,year,office,election_type,seat,party,jurisdiction,url,download_url,formats,total_votes,pct,precincts,pct_reporting,certified
OH,2012,all,Primary,,,,,http://vote.sos.state.oh.us/pls/enrpublic/wwv_flow.show?p_flow_id=130&p_flow_step_id=0&p_request=APPLICATION_PROCESS=rss_feed,rss,x,x,,,FALSE
OH,2012,U.S. Senate,Primary,Class III,REP,County,http://vote.sos.state.oh.us/pls/enrpublic/f?p=130:105:0::NO::P105_RACE_OR_ISSUE_ID:69D15F88E6AB4698B5E1FAB0E20B3D3E,,html|csv,x,x,x,x,FALSE
OH,2012,U.S. Senate,Primary,Class III,GRE,County,http://vote.sos.state.oh.us/pls/enrpublic/f?p=130:105:0::NO::P105_RACE_OR_ISSUE_ID:BFEC237DF16143F0863A995B1E76469A,,html|csv,x,x,x,x,FALSE
OH,2012,U.S. Senate,Primary,Class III,LIB,County,http://vote.sos.state.oh.us/pls/enrpublic/f?p=130:105:0::NO::P105_RACE_OR_ISSUE_ID:4475DE1F2C6042C2A4FD77C53DB73BCF,,html|csv,x,x,x,x,FALSE
OH,2012,U.S. House,Primary,,,Statewide,http://vote.sos.state.oh.us/pls/enrpublic/f?p=130:18:0:UC:NO::P18_SELECTED:4,,html|csv,x,x,x,x,FALSE
OH,2012,U.S. House,Primary,,DEM,CD1,http://vote.sos.state.oh.us/pls/enrpublic/f?p=130:105:0::NO::P105_RACE_OR_ISSUE_ID:AB64F0E5377F4CBF8E94730E24E3D1C7,,html|csv,x,x,x,x,FALSE
OH,2012,U.S. House,Primary,,GRE,CD1,http://vote.sos.state.oh.us/pls/enrpublic/f?p=130:105:0::NO::P105_RACE_OR_ISSUE_ID:C08FCDA7F69242C684948AC400F6642B,,html|csv,x,x,x,x,FALSE
OH,2012,U.S. House,Primary,,LIB,CD1,http://vote.sos.state.oh.us/pls/enrpublic/f?p=130:105:0::NO::P105_RACE_OR_ISSUE_ID:2F5DE876D6EE41AF88BF2E1A93A2DEA1,,html|csv,x,x,x,x,FALSE
OH,2012,U.S. House,Primary,,REP,CD1,http://vote.sos.state.oh.us/pls/enrpublic/f?p=130:105:0::NO::P105_RACE_OR_ISSUE_ID:F918FEF1C1D643A2A64E02546E08E5F0,,html|csv,x,x,x,x,FALSE
OH,2012,U.S. House,Primary,,DEM,CD2,http://vote.sos.state.oh.us/pls/enrpublic/f?p=130:105:0::NO::P105_RACE_OR_ISSUE_ID:A6F3C2F36DC74115AC5C2A5B86FF2B19,,html|csv,x,x,x,x,FALSE
OH,2012,U.S. House,Primary,,REP,CD2,http://vote.sos.state.oh.us/pls/enrpublic/f?p=130:105:0::NO::P105_RACE_OR_ISSUE_ID:2E9CB4FF77C548D6964FBB34E80A6C96,,html|csv,x,x,x,x,FALSE
OH,2012,U.S. House,Primary,,DEM,CD3,http://vote.sos.state.oh.us/pls/enrpublic/f?p=130:105:0::NO::P105_RACE_OR_ISSUE_ID:762692D614E74755930153D4B9E92230,,html|csv,x,x,x,x,FALSE
OH,2012,U.S. House,Primary,,GRE,CD3,http://vote.sos.state.oh.us/pls/enrpublic/f?p=130:105:0::NO::P105_RACE_OR_ISSUE_ID:6AA535E1C87B471EB6BA1C8BDE51DC37,,html|csv,x,x,x,x,FALSE
OH,2012,U.S. House,Primary,,REP,CD3,http://vote.sos.state.oh.us/pls/enrpublic/f?p=130:105:0::NO::P105_RACE_OR_ISSUE_ID:BFB57430F0604DB09502735885D9E570,,html|csv,x,x,x,x,FALSE
OH,2012,U.S. House,Primary,,LIB,CD3,http://vote.sos.state.oh.us/pls/enrpublic/f?p=130:105:0::NO::P105_RACE_OR_ISSUE_ID:165ED4B67CE04A9A858ACE441A972B04,,html|csv,x,x,x,x,FALSE
OH,2012,U.S. House,Primary,,DEM,CD4,http://vote.sos.state.oh.us/pls/enrpublic/f?p=130:105:0::NO::P105_RACE_OR_ISSUE_ID:F5CE2C1571FB4E4D98499940C0DE5B6B,,html|csv,x,x,x,x,FALSE
OH,2012,U.S. House,Primary,,LIB,CD4,http://vote.sos.state.oh.us/pls/enrpublic/f?p=130:105:0::NO::P105_RACE_OR_ISSUE_ID:2F66240FA35040F5A42FB6B87A999D6B,,html|csv,x,x,x,x,FALSE
OH,2012,U.S. House,Primary,,REP,CD4,http://vote.sos.state.oh.us/pls/enrpublic/f?p=130:105:0::NO::P105_RACE_OR_ISSUE_ID:A498305D59924F3F80BA269C2A4329C6,,html|csv,x,x,x,x,FALSE
OH,2012,U.S. House,Primary,,DEM,CD5,http://vote.sos.state.oh.us/pls/enrpublic/f?p=130:105:0::NO::P105_RACE_OR_ISSUE_ID:73A8622F7C40499F9F961F5B8F8FE433,,html|csv,x,x,x,x,FALSE
OH,2012,U.S. House,Primary,,LIB,CD5,http://vote.sos.state.oh.us/pls/enrpublic/f?p=130:105:0::NO::P105_RACE_OR_ISSUE_ID:DEB6906E480D467A9B06B75879E0892E,,html|csv,x,x,x,x,FALSE
OH,2012,U.S. House,Primary,,REP,CD5,http://vote.sos.state.oh.us/pls/enrpublic/f?p=130:105:0::NO::P105_RACE_OR_ISSUE_ID:FB7C39E298974355B06FFBADF2D213D6,,html|csv,x,x,x,x,FALSE
OH,2012,U.S. House,Primary,,DEM,CD6,http://vote.sos.state.oh.us/pls/enrpublic/f?p=130:105:0::NO::P105_RACE_OR_ISSUE_ID:D72B07BD1A564D16BFA1255C44753453,,html|csv,x,x,x,x,FALSE
OH,2012,U.S. House,Primary,,REP,CD6,http://vote.sos.state.oh.us/pls/enrpublic/f?p=130:105:0::NO::P105_RACE_OR_ISSUE_ID:9FEC8A6594CD4F4FB6F3C3D3F7B888A2,,html|csv,x,x,x,x,FALSE
OH,2012,U.S. House,Primary,,DEM,CD7,http://vote.sos.state.oh.us/pls/enrpublic/f?p=130:105:0::NO::P105_RACE_OR_ISSUE_ID:5E847401DD794DE4878E9ED501972972,,html|csv,x,x,x,x,FALSE
OH,2012,U.S. House,Primary,,REP,CD7,http://vote.sos.state.oh.us/pls/enrpublic/f?p=130:105:0::NO::P105_RACE_OR_ISSUE_ID:DB6435E35CB7481190093FD241815A27,,html|csv,x,x,x,x,FALSE
